time,alt,atmos_pressure,base_time,lat,lon,org_precip_rate_mean,pwd_mean_vis_10min,pwd_mean_vis_1min,pwd_precip_rate_mean_1min,qc_atmos_pressure,qc_logger_temp,qc_logger_volt,qc_org_precip_rate_mean,qc_pwd_cumul_rain,qc_pwd_cumul_snow,qc_pwd_mean_vis_10min,qc_pwd_mean_vis_1min,qc_pwd_precip_rate_mean_1min,qc_pwd_pw_code_15min,qc_pwd_pw_code_1hr,qc_pwd_pw_code_inst,qc_rh_mean,qc_tbrg_precip_total,qc_tbrg_precip_total_corr,qc_temp_mean,qc_vapor_pressure_mean,qc_wdir_vec_mean,qc_wspd_arith_mean,qc_wspd_vec_mean,rh_mean,tbrg_precip_total_corr,temp_mean,time_offset,vapor_pressure_mean,wdir_vec_mean,wspd_arith_mean,wspd_vec_mean,dew_point,specific_humidity
2025-05-23 00:00:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,0.0,15.0,2025-05-23 00:00:00,1.552,275.2,1.259,1.205,13.219999999999999,9.457979989983096
2025-05-23 00:01:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,0.0,14.99,2025-05-23 00:01:00,1.552,265.4,0.923,0.844,13.209999999999999,9.451774831647974
2025-05-23 00:02:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,0.0,14.98,2025-05-23 00:02:00,1.548,281.7,1.251,1.234,13.18,9.433180962034484
2025-05-23 00:03:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.6,0.0,14.95,2025-05-23 00:03:00,1.557,279.0,0.802,0.785,13.269999999999998,9.489059876696452
2025-05-23 00:04:00,45.0,100.38,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.4,0.0,14.88,2025-05-23 00:04:00,1.562,278.7,0.657,0.576,13.360000000000001,9.544275017764582
2025-05-23 00:05:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.6,0.0,14.83,2025-05-23 00:05:00,1.56,284.9,0.846,0.751,13.35,9.538975665513057
2025-05-23 00:06:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,0.0,14.87,2025-05-23 00:06:00,1.504,264.2,1.624,1.586,12.669999999999998,9.121998153796984
2025-05-23 00:07:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.9,0.0,14.99,2025-05-23 00:07:00,1.48,296.7,1.929,1.833,12.370000000000001,8.94322371035946
2025-05-23 00:08:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0.0,15.05,2025-05-23 00:08:00,1.476,267.9,1.566,1.347,12.31,8.907843220912424
2025-05-23 00:09:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.5,0.0,15.01,2025-05-23 00:09:00,1.475,273.2,1.343,1.214,12.309999999999999,8.907843220912424
2025-05-23 00:10:00,45.0,100.37,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3,0.0,15.0,2025-05-23 00:10:00,1.471,286.3,1.119,1.054,12.26,8.87845415511385
2025-05-23 00:11:00,45.0,100.38,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7,0.0,14.99,2025-05-23 00:11:00,1.46,280.7,1.857,1.771,12.13,8.80156215282523
2025-05-23 00:12:00,45.0,100.38,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.5,0.0,14.99,2025-05-23 00:12:00,1.44,292.4,1.555,1.471,11.89,8.662760875748232
2025-05-23 00:13:00,45.0,100.38,2025-05-23,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.3,0.0,15.03,2025-05-23 00:13:00,1.44,280.8,1.777,1.676,11.889999999999999,8.662760875748232
