time,alt,atmos_pressure,base_time,lat,lon,org_precip_rate_mean,pwd_mean_vis_10min,pwd_mean_vis_1min,pwd_precip_rate_mean_1min,qc_atmos_pressure,qc_logger_temp,qc_logger_volt,qc_org_precip_rate_mean,qc_pwd_cumul_rain,qc_pwd_cumul_snow,qc_pwd_mean_vis_10min,qc_pwd_mean_vis_1min,qc_pwd_precip_rate_mean_1min,qc_pwd_pw_code_15min,qc_pwd_pw_code_1hr,qc_pwd_pw_code_inst,qc_rh_mean,qc_tbrg_precip_total,qc_tbrg_precip_total_corr,qc_temp_mean,qc_vapor_pressure_mean,qc_wdir_vec_mean,qc_wspd_arith_mean,qc_wspd_vec_mean,rh_mean,tbrg_precip_total_corr,temp_mean,time_offset,vapor_pressure_mean,wdir_vec_mean,wspd_arith_mean,wspd_vec_mean
2025-05-24 00:00:00,45.0,100.9,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.39,0.0,15.83,2025-05-24 00:00:00,0.852,258.2,2.587,2.345
2025-05-24 00:01:00,45.0,100.9,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.33,0.0,15.75,2025-05-24 00:01:00,0.847,252.2,2.577,2.387
2025-05-24 00:02:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.36,0.0,15.77,2025-05-24 00:02:00,0.848,290.4,2.643,2.501
2025-05-24 00:03:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.52,0.0,15.73,2025-05-24 00:03:00,0.849,275.7,3.061,2.885
2025-05-24 00:04:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.86,0.0,15.8,2025-05-24 00:04:00,0.841,277.3,3.062,2.794
2025-05-24 00:05:00,45.0,100.9,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.11,0.0,15.78,2025-05-24 00:05:00,0.844,277.2,2.483,2.307
2025-05-24 00:06:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.34,0.0,15.71,2025-05-24 00:06:00,0.844,292.0,3.286,3.12
2025-05-24 00:07:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.53,0.0,15.71,2025-05-24 00:07:00,0.848,287.8,2.078,1.91
2025-05-24 00:08:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.02,0.0,15.62,2025-05-24 00:08:00,0.852,277.3,2.357,2.215
2025-05-24 00:09:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.73,0.0,15.62,2025-05-24 00:09:00,0.846,265.0,2.058,1.926
2025-05-24 00:10:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.34,0.0,15.56,2025-05-24 00:10:00,0.854,272.3,2.022,1.887
2025-05-24 00:11:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.65,0.0,15.48,2025-05-24 00:11:00,0.855,277.1,2.05,1.9
2025-05-24 00:12:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.16,0.0,15.54,2025-05-24 00:12:00,0.849,270.3,2.239,2.172
2025-05-24 00:13:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.03,0.0,15.58,2025-05-24 00:13:00,0.85,273.1,2.564,2.444
2025-05-24 00:14:00,45.0,100.91,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.74,0.0,15.57,2025-05-24 00:14:00,0.844,277.3,3.076,2.961
2025-05-24 00:15:00,45.0,100.92,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.94,0.0,15.56,2025-05-24 00:15:00,0.847,281.9,2.54,2.383
2025-05-24 00:16:00,45.0,100.92,2025-05-24,39.317,-76.586,0.0,20000.0,20000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.27,0.0,15.51,2025-05-24 00:16:00,0.85,270.4,2.925,2.814
