time,base_time,time_offset,atmos_pressure,qc_atmos_pressure,temp_mean,qc_temp_mean,temp_std,rh_mean,qc_rh_mean,rh_std,vapor_pressure_mean,qc_vapor_pressure_mean,vapor_pressure_std,wspd_arith_mean,qc_wspd_arith_mean,wspd_vec_mean,qc_wspd_vec_mean,wdir_vec_mean,qc_wdir_vec_mean,wdir_vec_std,tbrg_precip_total,qc_tbrg_precip_total,tbrg_precip_total_corr,qc_tbrg_precip_total_corr,org_precip_rate_mean,qc_org_precip_rate_mean,pwd_err_code,pwd_mean_vis_1min,qc_pwd_mean_vis_1min,pwd_mean_vis_10min,qc_pwd_mean_vis_10min,pwd_pw_code_inst,qc_pwd_pw_code_inst,pwd_pw_code_15min,qc_pwd_pw_code_15min,pwd_pw_code_1hr,qc_pwd_pw_code_1hr,pwd_precip_rate_mean_1min,qc_pwd_precip_rate_mean_1min,pwd_cumul_rain,qc_pwd_cumul_rain,pwd_cumul_snow,qc_pwd_cumul_snow,logger_volt,qc_logger_volt,logger_temp,qc_logger_temp,lat,lon,alt
2025-01-29 00:00:00,2025-01-29,2025-01-29 00:00:00,100.1,0,4.606,0,0.025,49.22,0,0.303,0.417,0,0.003,0.573,0,0.571,0,215.7,0,5.436,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.505,0,39.317,-76.586,45.0
2025-01-29 00:01:00,2025-01-29,2025-01-29 00:01:00,100.1,0,4.624,0,0.021,48.65,0,0.225,0.413,0,0.002,0.586,0,0.586,0,220.0,0,0.522,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.448,0,39.317,-76.586,45.0
2025-01-29 00:02:00,2025-01-29,2025-01-29 00:02:00,100.09,0,4.63,0,0.059,49.05,0,0.339,0.417,0,0.003,0.554,0,0.549,0,206.0,0,7.37,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.395,0,39.317,-76.586,45.0
2025-01-29 00:03:00,2025-01-29,2025-01-29 00:03:00,100.09,0,4.54,0,0.043,49.6,0,0.266,0.419,0,0.002,0.541,0,0.541,0,204.3,0,0.614,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.338,0,39.317,-76.586,45.0
2025-01-29 00:04:00,2025-01-29,2025-01-29 00:04:00,100.09,0,4.418,0,0.027,50.09,0,0.232,0.419,0,0.002,0.604,0,0.603,0,201.9,0,3.771,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.285,0,39.317,-76.586,45.0
2025-01-29 00:05:00,2025-01-29,2025-01-29 00:05:00,100.09,0,4.378,0,0.024,49.59,0,0.32,0.414,0,0.003,0.882,0,0.879,0,188.2,0,4.649,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.46,0,5.228,0,39.317,-76.586,45.0
2025-01-29 00:06:00,2025-01-29,2025-01-29 00:06:00,100.09,0,4.252,0,0.057,49.41,0,0.212,0.409,0,0.002,0.791,0,0.79,0,180.0,0,1.984,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.47,0,5.175,0,39.317,-76.586,45.0
2025-01-29 00:07:00,2025-01-29,2025-01-29 00:07:00,100.09,0,4.186,0,0.059,49.47,0,0.228,0.407,0,0.003,0.938,0,0.936,0,191.6,0,3.42,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.47,0,5.118,0,39.317,-76.586,45.0
2025-01-29 00:08:00,2025-01-29,2025-01-29 00:08:00,100.09,0,4.292,0,0.055,49.28,0,0.233,0.409,0,0.002,0.804,0,0.777,0,171.0,0,14.79,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.47,0,5.062,0,39.317,-76.586,45.0
2025-01-29 00:09:00,2025-01-29,2025-01-29 00:09:00,100.08,0,4.134,0,0.07,49.59,0,0.386,0.407,0,0.004,1.132,0,1.116,0,152.9,0,9.46,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37.28,0,161.0,0,13.47,0,5.009,0,39.317,-76.586,45.0
