variable_pair,lag,n,% positive,% negative,% > 0.5,% < -0.5
P_P,1,30,90.0,10.0,86.67,0.0
P_P,2,28,92.86,7.14,71.43,0.0
P_P,3,26,96.15,3.85,61.54,0.0
P_P,4,24,95.83,4.17,62.5,0.0
P_P,5,24,95.83,4.17,54.17,0.0
P_H,0,13,61.54,38.46,7.69,0.0
P_H,1,13,69.23,30.77,7.69,0.0
P_H,2,14,64.29,35.71,7.14,0.0
P_H,3,13,69.23,30.77,7.69,0.0
P_H,4,13,69.23,30.77,7.69,0.0
P_H,5,13,61.54,38.46,7.69,0.0
T_T,1,30,96.67,3.33,93.33,0.0
T_T,2,30,100.0,0.0,90.0,0.0
T_T,3,30,96.67,3.33,86.67,0.0
T_T,4,29,100.0,0.0,86.21,0.0
T_T,5,29,96.55,3.45,86.21,0.0
T_H,0,29,100.0,0.0,72.41,0.0
T_H,1,29,89.66,10.34,58.62,0.0
T_H,2,28,96.43,3.57,57.14,0.0
T_H,3,28,92.86,7.14,53.57,0.0
T_H,4,28,92.86,7.14,53.57,0.0
T_H,5,28,89.29,10.71,53.57,0.0
H_P,0,13,61.54,38.46,7.69,0.0
H_P,1,13,69.23,30.77,7.69,0.0
H_P,2,12,66.67,33.33,8.33,0.0
H_P,3,14,64.29,35.71,7.14,0.0
H_P,4,13,69.23,30.77,7.69,0.0
H_P,5,13,69.23,30.77,7.69,0.0
H_T,0,29,100.0,0.0,72.41,0.0
H_T,1,29,96.55,3.45,68.97,0.0
H_T,2,29,100.0,0.0,62.07,0.0
H_T,3,28,96.43,3.57,57.14,0.0
H_T,4,27,100.0,0.0,55.56,0.0
H_T,5,27,96.3,3.7,55.56,0.0
H_H,1,31,93.55,6.45,90.32,0.0
H_H,2,31,100.0,0.0,90.32,0.0
H_H,3,31,93.55,6.45,77.42,0.0
H_H,4,31,96.77,3.23,70.97,0.0
H_H,5,30,93.33,6.67,70.0,0.0
P_aero,0,13,53.85,46.15,0.0,0.0
P_aero,1,13,53.85,46.15,0.0,0.0
P_aero,2,11,54.55,45.45,0.0,0.0
P_aero,3,14,50.0,50.0,0.0,0.0
P_aero,4,14,50.0,50.0,0.0,0.0
P_aero,5,15,46.67,53.33,0.0,0.0
T_aero,0,20,55.0,45.0,0.0,0.0
T_aero,1,19,47.37,52.63,0.0,0.0
T_aero,2,18,50.0,50.0,0.0,0.0
T_aero,3,18,50.0,50.0,0.0,0.0
T_aero,4,18,50.0,50.0,0.0,0.0
T_aero,5,18,50.0,50.0,0.0,0.0
H_aero,0,22,63.64,36.36,4.55,0.0
H_aero,1,23,60.87,39.13,4.35,0.0
H_aero,2,22,63.64,36.36,4.55,0.0
H_aero,3,20,65.0,35.0,5.0,0.0
H_aero,4,20,65.0,35.0,0.0,0.0
H_aero,5,20,65.0,35.0,0.0,0.0
aero_P,0,13,53.85,46.15,0.0,0.0
aero_P,1,13,53.85,46.15,0.0,0.0
aero_P,2,13,38.46,61.54,0.0,0.0
aero_P,3,13,46.15,53.85,0.0,0.0
aero_P,4,14,35.71,64.29,0.0,0.0
aero_P,5,12,33.33,66.67,0.0,0.0
aero_T,0,20,55.0,45.0,0.0,0.0
aero_T,1,19,57.89,42.11,5.26,0.0
aero_T,2,22,45.45,54.55,4.55,0.0
aero_T,3,22,50.0,50.0,0.0,0.0
aero_T,4,21,52.38,47.62,0.0,0.0
aero_T,5,23,52.17,47.83,4.35,0.0
aero_H,0,22,63.64,36.36,4.55,0.0
aero_H,1,22,63.64,36.36,4.55,0.0
aero_H,2,22,68.18,31.82,0.0,0.0
aero_H,3,21,66.67,33.33,0.0,0.0
aero_H,4,20,70.0,30.0,0.0,0.0
aero_H,5,21,71.43,28.57,0.0,0.0
aero_aero,1,30,96.67,3.33,93.33,0.0
aero_aero,2,29,96.55,3.45,93.1,0.0
aero_aero,3,29,100.0,0.0,89.66,0.0
aero_aero,4,29,96.55,3.45,75.86,0.0
aero_aero,5,28,96.43,3.57,75.0,0.0
P_T,0,15,60.0,40.0,6.67,0.0
P_T,1,17,52.94,47.06,5.88,0.0
P_T,2,16,56.25,43.75,6.25,0.0
P_T,3,16,56.25,43.75,6.25,0.0
P_T,4,16,56.25,43.75,6.25,0.0
P_T,5,15,60.0,40.0,6.67,0.0
T_P,0,15,60.0,40.0,6.67,0.0
T_P,1,16,62.5,37.5,6.25,0.0
T_P,2,15,66.67,33.33,6.67,0.0
T_P,3,16,62.5,37.5,12.5,0.0
T_P,4,16,68.75,31.25,6.25,0.0
T_P,5,14,64.29,35.71,7.14,0.0
