time,base_time,time_offset,atmos_pressure,qc_atmos_pressure,temp_mean,qc_temp_mean,temp_std,rh_mean,qc_rh_mean,rh_std,vapor_pressure_mean,qc_vapor_pressure_mean,vapor_pressure_std,wspd_arith_mean,qc_wspd_arith_mean,wspd_vec_mean,qc_wspd_vec_mean,wdir_vec_mean,qc_wdir_vec_mean,wdir_vec_std,tbrg_precip_total,qc_tbrg_precip_total,tbrg_precip_total_corr,qc_tbrg_precip_total_corr,org_precip_rate_mean,qc_org_precip_rate_mean,pwd_err_code,pwd_mean_vis_1min,qc_pwd_mean_vis_1min,pwd_mean_vis_10min,qc_pwd_mean_vis_10min,pwd_pw_code_inst,qc_pwd_pw_code_inst,pwd_pw_code_15min,qc_pwd_pw_code_15min,pwd_pw_code_1hr,qc_pwd_pw_code_1hr,pwd_precip_rate_mean_1min,qc_pwd_precip_rate_mean_1min,pwd_cumul_rain,qc_pwd_cumul_rain,pwd_cumul_snow,qc_pwd_cumul_snow,logger_volt,qc_logger_volt,logger_temp,qc_logger_temp,lat,lon,alt
2025-03-03 00:00:00,2025-03-03,2025-03-03 00:00:00,101.63,0,1.422,0,0.065,31.52,0,0.227,0.213,0,0.002,3.783,0,3.731,0,302.8,0,9.46,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.491,0,39.317,-76.586,45.0
2025-03-03 00:01:00,2025-03-03,2025-03-03 00:01:00,101.64,0,1.491,0,0.024,31.27,0,0.231,0.213,0,0.002,2.687,0,2.624,0,310.4,0,12.35,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.453,0,39.317,-76.586,45.0
2025-03-03 00:02:00,2025-03-03,2025-03-03 00:02:00,101.64,0,1.434,0,0.038,31.34,0,0.249,0.212,0,0.002,2.486,0,2.456,0,310.7,0,8.82,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.419,0,39.317,-76.586,45.0
2025-03-03 00:03:00,2025-03-03,2025-03-03 00:03:00,101.64,0,1.347,0,0.04,31.71,0,0.225,0.213,0,0.002,2.308,0,2.265,0,311.4,0,11.1,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.382,0,39.317,-76.586,45.0
2025-03-03 00:04:00,2025-03-03,2025-03-03 00:04:00,101.64,0,1.336,0,0.037,31.72,0,0.26,0.213,0,0.002,2.329,0,2.294,0,306.2,0,9.94,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.348,0,39.317,-76.586,45.0
2025-03-03 00:05:00,2025-03-03,2025-03-03 00:05:00,101.64,0,1.435,0,0.034,31.14,0,0.248,0.211,0,0.002,3.005,0,2.959,0,302.7,0,10.07,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.313,0,39.317,-76.586,45.0
2025-03-03 00:06:00,2025-03-03,2025-03-03 00:06:00,101.64,0,1.451,0,0.029,30.98,0,0.231,0.21,0,0.002,1.684,0,1.595,0,333.6,0,18.63,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.281,0,39.317,-76.586,45.0
2025-03-03 00:07:00,2025-03-03,2025-03-03 00:07:00,101.64,0,1.461,0,0.041,30.96,0,0.241,0.21,0,0.002,2.033,0,1.971,0,317.0,0,14.21,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.55,0,2.247,0,39.317,-76.586,45.0
2025-03-03 00:08:00,2025-03-03,2025-03-03 00:08:00,101.64,0,1.516,0,0.031,30.63,0,0.25,0.209,0,0.002,2.569,0,2.505,0,307.3,0,12.84,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.56,0,2.215,0,39.317,-76.586,45.0
2025-03-03 00:09:00,2025-03-03,2025-03-03 00:09:00,101.64,0,1.448,0,0.042,30.59,0,0.246,0.207,0,0.002,2.404,0,2.326,0,317.3,0,14.61,0.0,0,0.0,0,0.0,0,0.0,20000.0,0,20000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,83.85,0,257.0,0,13.56,0,2.184,0,39.317,-76.586,45.0
