Precipitation on Aerosols,Precipitation on Temperature,Specific Humidity on Temperature,Specific Humidity on Aerosols,Specific Humidity on Precipitation,Aerosols on Temperature,Precipitation on Aerosols interval 1,Precipitation on Temperature interval 1,Specific Humidity on Temperature interval 1,Specific Humidity on Aerosols interval 1,Specific Humidity on Precipitation interval 1,Aerosols on Temperature interval 1,Precipitation on Aerosols interval 2,Precipitation on Temperature interval 2,Specific Humidity on Temperature interval 2,Specific Humidity on Aerosols interval 2,Specific Humidity on Precipitation interval 2,Aerosols on Temperature interval 2
[-23.96992986],[0.11967751],[4.9877179],[359.34110945],[9.15788622],[-0.0051686],[-25.29810787],[0.10834676],[4.81733585],[346.55121661],[9.01112826],[-0.00544398],[-22.83465872],[0.13138156],[5.12480173],[377.68328135],[9.31381596],[-0.00491258]
[-5.13630769],[0.8375379],[4.72619969],[77.23845431],[-2.35633162],[0.00620816],[-8.43556496],[0.71825174],[2.69901361],[31.67275627],[-4.62027385],[0.00083441],[-1.82708695],[0.93569398],[6.41937683],[134.36850965],[0.23842135],[0.01277327]
[-19.75950904],[0.66900738],[0.67438443],[88.02903308],[0.9101602],[-0.00071584],[-20.86848287],[0.65889406],[0.65415131],[85.13036817],[0.88879336],[-0.0008328],[-18.65814589],[0.68268155],[0.69031813],[90.22239937],[0.93654198],[-0.00056935]
[-7.85343093],[-0.0469484],[4.22472525],[192.00477897],[-2.45163468],[-0.00146586],[-18.56401812],[-0.15193542],[3.76270552],[161.60493113],[-2.77154472],[-0.00310431],[-0.55784689],[0.04225502],[4.67326027],[228.40370289],[-2.0824812],[0.00058859]
[-96.65198666],[0.61911729],[2.44510834],[214.84000892],[0.45108153],[0.00023716],[-106.38963396],[0.56647446],[2.3342781],[203.33460822],[0.37999277],[-5.90889763e-05],[-87.52665302],[0.67714598],[2.56190117],[228.239048],[0.54124771],[0.00050962]
[-118.60353642],[0.03630633],[8.17772512],[676.06937859],[5.32634517],[-0.00195625],[-179.78485935],[-0.21360049],[4.7873564],[-613.93722723],[1.33222042],[-0.0032789],[-54.40307727],[0.28699204],[10.55790482],[1455.14673902],[7.72850109],[-0.00082327]
[-25.2963678],[0.50425045],[2.25392693],[258.30608727],[2.77732361],[-0.00299912],[-26.97319292],[0.49220632],[2.19362109],[252.05703117],[2.73664756],[-0.00311437],[-23.49968456],[0.51897937],[2.30756258],[264.12295544],[2.8177355],[-0.00288458]
[-5.41981512],[0.46283589],[-0.49850741],[-121.33879564],[-1.01084099],[-0.00430411],[-7.02189083],[0.42659479],[-0.58578007],[-128.89418314],[-1.13427159],[-0.00487116],[-4.17647151],[0.49225136],[-0.41982797],[-112.89494818],[-0.8747373],[-0.00382498]
[157.88960048],[0.04225671],[0.00987184],[-506.49805002],[0.65989827],[0.00014418],[118.39596146],[-0.00434123],[-0.14508892],[-593.90082924],[0.19663805],[-7.69144753e-34],[188.30826076],[0.11118992],[0.15845289],[-396.55395896],[1.2011844],[0.00039959]
