time,precipitation,relative humidity,temperature,atmospheric pressure,wind speed,co2 flux,co2 molar density,co2 molar fraction,co2 timelag,h2o flux,h2o molar density,h2o mole fraction,h2o timelag,evapotranspiration flux,water vapor density,co2 spec. humidity (meas),co2 relative humidity,co2 latent flux,total number conc,total count,total count std,total volume PSL,total surface area
2024-11-30 00:00:00,0.0,45.94137931034483,3.555206896551724,101.6,5.23351724137931,2.45952,18.8055,423.688,0.1,1.2111,124.575,2.80668,0.1,0.0784792,0.00224484,0.001748,38.9565,54.4299,285.872926,853.7908213333334,37.922236733333335,25750284.013114348,970909865.3432142
2024-11-30 00:30:00,0.0,46.70733333333333,3.4369333333333336,101.64666666666668,4.2062,2.5121,18.8169,423.568,0.1,1.01247,118.078,2.65792,0.1,0.0656079,0.00212776,0.00165526,37.4757,45.5123,326.0933646666666,973.6220496666666,61.56334696666667,28849705.329375256,1084987820.1704826
2024-11-30 01:00:00,0.0,48.69931034482759,3.323551724137931,101.7,4.788793103448276,3.38724,18.8446,423.881,0.1,1.10945,121.41,2.73094,0.1,0.0718926,0.00218781,0.00170078,38.9318,49.8792,334.61905599999994,997.4864566666668,41.44674593333333,30600556.273399193,1162407981.520907
2024-11-30 01:30:00,0.0,50.90833333333333,3.3322333333333334,101.7,5.921533333333333,3.31607,18.8509,423.874,0.1,1.05731,126.182,2.83726,0.1,0.0685137,0.00227379,0.00176707,40.6093,47.5373,337.08264833333334,1006.1962593333334,41.06377556666666,31183341.550587196,1200781806.3639681
2024-11-30 02:00:00,0.0,51.44206896551724,3.1010689655172414,101.7344827586207,5.114068965517241,2.43064,18.8456,423.697,0.1,0.884216,130.215,2.92755,0.1,0.0572972,0.00234647,0.00182336,41.8955,39.7548,360.9266576666667,1077.23942,44.77842803333333,33227406.086529873,1288785101.2371154
2024-11-30 02:30:00,0.0,51.88633333333333,2.8546,101.8,4.065,2.0782,18.8844,423.863,0.1,0.709075,131.029,2.94097,0.1,0.0459481,0.00236114,0.00183173,42.9615,31.8888,383.134352,1143.7641333333333,44.626285599999996,35080795.21331134,1379312344.8425062
2024-11-30 03:00:00,0.0,50.9748275862069,2.596793103448276,101.8,3.2355862068965515,3.0638,18.9062,423.834,0.1,1.01608,132.769,2.97637,0.1,0.0658422,0.0023925,0.0018538,44.3863,45.7081,387.316797,1155.96156,45.393555,35371325.88454856,1413449827.7122934
2024-11-30 03:30:00,0.0,51.36566666666667,2.4364333333333335,101.8,3.130933333333333,2.33179,18.9317,424.009,0.1,0.909119,127.468,2.85489,0.1,0.0589109,0.00229698,0.00177806,43.2051,40.9042,385.0795256666667,1148.5982000000001,45.2505199,35026725.86287108,1393914264.672117
2024-11-30 04:00:00,0.0,51.28551724137931,2.2743793103448273,101.8,3.284965517241379,1.98515,18.9497,424.069,0.1,0.626526,127.945,2.86323,0.1,0.0405989,0.00230557,0.00178325,44.0282,28.1954,382.67084166666666,1142.0204333333334,43.506097733333334,34552929.3864684,1342225011.668183
2024-11-30 04:30:00,0.0,52.04533333333333,2.090133333333333,101.8,4.098366666666666,2.35516,18.9544,424.02,0.1,0.68514,125.817,2.81461,0.1,0.0443971,0.00226723,0.00175294,43.7202,30.8373,400.2817126666667,1193.6457233333335,44.507235300000005,36140280.019663654,1403559693.1438496
2024-11-30 05:00:00,0.0,53.728965517241384,1.741896551724138,101.8,3.8646206896551725,3.06624,19.0028,424.73,0.1,0.962904,125.384,2.80244,0.1,0.0623962,0.00225942,0.00174536,44.1512,43.3471,439.224148,1310.7124933333332,47.5015151,39316055.70193382,1438491485.675529
2024-11-30 05:30:00,0.0,53.327,1.5786333333333333,101.8,4.103466666666667,2.19796,19.0215,424.557,0.1,0.376928,128.518,2.86849,0.1,0.0244249,0.00231589,0.00178654,46.2977,16.9735,448.5527633333333,1338.8587833333333,50.37942053333334,39767358.43925762,1452164602.0856087
